"cty","Name","College_Graduation_Rate_rP_gP_p25"
"cty40043","Dewey County, OK",0.2354
"cty51085","Hanover County, VA",0.2353
"cty27139","Scott County, MN",0.2352
"cty06093","Siskiyou County, CA",0.2351
"cty25013","Hampden County, MA",0.2351
"cty44003","Kent County, RI",0.2351
"cty01105","Perry County, AL",0.235
"cty22125","West Feliciana Parish, LA",0.235
"cty13057","Cherokee County, GA",0.2349
"cty31093","Howard County, NE",0.2349
"cty21053","Clinton County, KY",0.2349
"cty30029","Flathead County, MT",0.2348
"cty13121","Fulton County, GA",0.2347
"cty19083","Hardin County, IA",0.2347
"cty46023","Charles Mix County, SD",0.2343
"cty36095","Schoharie County, NY",0.2343
"cty42073","Lawrence County, PA",0.2341
"cty36073","Orleans County, NY",0.234
"cty48445","Terry County, TX",0.2339
"cty31035","Clay County, NE",0.2338
"cty08103","Rio Blanco County, CO",0.2336
"cty48433","Stonewall County, TX",0.2332
"cty30013","Cascade County, MT",0.2331
"cty49021","Iron County, UT",0.2331
"cty33009","Grafton County, NH",0.2331
"cty42063","Indiana County, PA",0.2331
"cty27053","Hennepin County, MN",0.233
"cty27105","Nobles County, MN",0.233
"cty37129","New Hanover County, NC",0.2329
"cty36055","Monroe County, NY",0.2328
"cty36077","Otsego County, NY",0.2328
"cty36043","Herkimer County, NY",0.2327
"cty38065","Oliver County, ND",0.2326
"cty40055","Greer County, OK",0.2326
"cty27127","Redwood County, MN",0.2325
"cty38035","Grand Forks County, ND",0.2323
"cty05149","Yell County, AR",0.2323
"cty45067","Marion County, SC",0.2323
"cty51041","Chesterfield County, VA",0.2321
"cty55029","Door County, WI",0.2317
"cty06037","Los Angeles County, CA",0.2316
"cty35027","Lincoln County, NM",0.2315
"cty08039","Elbert County, CO",0.2314
"cty40057","Harmon County, OK",0.2313
"cty13219","Oconee County, GA",0.2313
"cty21069","Fleming County, KY",0.2312
"cty54009","Brooke County, WV",0.2311
"cty39107","Mercer County, OH",0.2311
"cty54041","Lewis County, WV",0.2309
"cty37187","Washington County, NC",0.2307
"cty19077","Guthrie County, IA",0.2307
"cty27129","Renville County, MN",0.2303
"cty29033","Carroll County, MO",0.2301
"cty42021","Cambria County, PA",0.2301
"cty48141","El Paso County, TX",0.23
"cty19159","Ringgold County, IA",0.2299
"cty22033","East Baton Rouge Parish, LA",0.2295
"cty44007","Providence County, RI",0.2294
"cty56029","Park County, WY",0.2291
"cty48083","Coleman County, TX",0.2289
"cty36109","Tompkins County, NY",0.2289
"cty16021","Boundary County, ID",0.2288
"cty31119","Madison County, NE",0.2285
"cty17093","Kendall County, IL",0.2285
"cty51157","Rappahannock County, VA",0.2285
"cty23023","Sagadahoc County, ME",0.2284
"cty38077","Richland County, ND",0.2281
"cty20037","Crawford County, KS",0.228
"cty06073","San Diego County, CA",0.228
"cty48275","Knox County, TX",0.228
"cty21067","Fayette County, KY",0.228
"cty48285","Lavaca County, TX",0.2278
"cty37089","Henderson County, NC",0.2277
"cty09015","Windham County, CT",0.2276
"cty17097","Lake County, IL",0.2274
"cty40129","Roger Mills County, OK",0.2273
"cty12021","Collier County, FL",0.2272
"cty42115","Susquehanna County, PA",0.2272
"cty21217","Taylor County, KY",0.227
"cty48377","Presidio County, TX",0.227
"cty20121","Miami County, KS",0.2267
"cty36071","Orange County, NY",0.2266
"cty21227","Warren County, KY",0.2266
"cty27045","Fillmore County, MN",0.2264
"cty05019","Clark County, AR",0.2263
"cty29001","Adair County, MO",0.2262
"cty29051","Cole County, MO",0.2262
"cty08099","Prowers County, CO",0.2261
"cty12015","Charlotte County, FL",0.2261
"cty41067","Washington County, OR",0.2259
"cty30099","Teton County, MT",0.2259
"cty29107","Lafayette County, MO",0.2258
"cty54081","Raleigh County, WV",0.2258
"cty12059","Holmes County, FL",0.2258
"cty36063","Niagara County, NY",0.2257
"cty13089","DeKalb County, GA",0.2256
"cty39035","Cuyahoga County, OH",0.2254
"cty48031","Blanco County, TX",0.2253
"cty51147","Prince Edward County, VA",0.2252
"cty36097","Schuyler County, NY",0.2251
"cty51540","Charlottesville city, VA",0.2251
"cty27069","Kittson County, MN",0.2251
"cty51640","Galax city, VA",0.2248
"cty20041","Dickinson County, KS",0.2247
"cty46065","Hughes County, SD",0.2246
"cty38099","Walsh County, ND",0.2246
"cty34015","Gloucester County, NJ",0.2245
"cty06013","Contra Costa County, CA",0.2243
"cty51660","Harrisonburg city, VA",0.2241
"cty21011","Bath County, KY",0.2239
"cty31141","Platte County, NE",0.2238
